Confirmed,Deaths,Active,People_Tested,Testing_Rate,Mortality_Rate,Incident_Rate,Province_State,Days_Since_Start
24244,1479,22332.0,79437.0,9.772143528239165e-08,6.100478468899522,242.759058230232,Michigan,0
1621,70,709.0,37421.0,756.5229662,4.318322023442319,28.74301018222465,Minnesota,0
2781,96,0.0,21413.0,739.6019489,3.451995685005394,93.44290222028536,Mississippi,0
4352,120,0.0,45200.0,771.4026695,2.7573529411764706,70.90918215252383,Missouri,0
387,6,212.0,8913.0,833.9430639477982,1.550387596899225,36.209577667204975,Montana,0
791,17,0.0,10691.0,700.924163,2.149178255372945,40.89106331239325,Nebraska,0
2836,112,0.0,24611.0,815.8260508,3.9492242595204514,92.07325862716044,Nevada,0
929,23,670.0,11552.0,849.5923030702847,2.4757804090419806,68.32334223963768,New Hampshire,0
61850,2350,0.0,126735.0,1426.844055,3.799514955537591,696.3372771805151,New Jersey,0
1245,26,984.0,28692.0,1720.625619,2.0883534136546187,59.37537109606935,New Mexico,0
189033,9382,155764.0,461601.0,2372.835492689488,4.963154581475192,971.7141247301716,New York,0
4570,89,0.0,62139.0,0.0,1.947483588621444,43.573258947964185,North Carolina,0
331,7,180.0,10350.0,1706.743533,2.272727272727273,40.4166590119964,North Dakota,0
11,2,0.0,38.0,68.9104889,18.181818181818183,19.947773103148123,Northern Mariana Islands,0
6604,363,0.0,63243.0,5.973513786347966e-08,5.496668685645064,56.49707847481842,Ohio,0
1970,96,1009.0,22760.0,622.2601824,4.873096446700508,49.78555566871731,Oklahoma,0
1527,52,0.0,29758.0,742.6366471,3.4053700065487886,36.20424886615737,Oregon,0
23219,572,0.0,129733.0,992.175013,2.46349972005685,181.3702542628337,Pennsylvania,0
897,44,0.0,11026.0,345.24284417981187,4.905239687848384,28.08659815248424,Puerto Rico,0
0,0,0.0,0.0,0.0,0.0,0.0,Recovered,0
2665,91,2539.0,20350.0,1920.969339,3.414634146341464,251.5667463688016,Rhode Island,0
3320,82,0.0,31425.0,623.5149976,2.469879518072289,64.48212116656703,South Carolina,0
730,6,527.0,8553.0,9.809429395959348e-08,0.821917808219178,82.51767065049923,South Dakota,0
5390,101,3785.0,70677.0,1076.584377,1.8738404452690167,78.92608974379625,Tennessee,0
9762,315,7427.0,124533.0,541.811523,3.139427516158818,33.61511933367363,Texas,0
2303,18,0.0,44234.0,1543.468991,0.7815892314372558,71.83500220526906,Utah,0
727,27,685.0,9841.0,1611.717172,3.713892709766162,116.50846409151444,Vermont,0
51,1,7.0,350.0,326.2855651,1.96078431372549,47.5444680613044,Virgin Islands,0
5274,141,0.0,39985.0,505.6764505,2.6734926052332195,61.78886134516249,Virginia,0
10609,562,0.0,93615.0,1240.031828,5.2973890093317,139.31909483166737,Washington,0
593,6,504.0,16257.0,1228.800044,1.011804384485666,33.088803541227364,West Virginia,0
3341,144,0.0,39257.0,7.21639781575884e-08,4.310086800359174,57.38150058892896,Wisconsin,0
270,0,133.0,5459.0,1097.860188,0.0,46.6515423518252,Wyoming,0
3870,99,0.0,64636.0,0.0,2.558139534883721,78.92828844924269,Alabama,1
277,8,184.0,7830.0,1309.9143620482844,2.888086642599278,37.8650664005632,Alaska,1
0,0,0.0,3.0,5.3917075537822825,0.0,0.0,American Samoa,1
3705,122,0.0,53187.0,595.5307782951309,3.292847503373819,50.90182789082197,Arizona,1
1410,29,990.0,20804.0,803.5451155974812,2.0567375886524824,46.72271625327556,Arkansas,1
23403,696,0.0,190882.0,486.8368231271593,2.961158825791565,59.2297730249194,California,1
12304,841,0.0,37534.0,662.3476017295789,3.9786763749837473,133.55361315399767,Colorado,1
13381,602,0.0,44309.0,1242.7891499337925,4.498916373963082,375.31340394195473,Connecticut,1
1758,54,1491.0,11820.0,1.9086760241701282e-07,3.0716723549488054,180.5365571124009,Delaware,1
49,0,49.0,0.0,0.0,0.0,0.0,Diamond Princess,1
1955,52,1396.0,10934.0,1549.276017394286,2.659846547314578,277.0106652648463,District of Columbia,1
21019,499,0.0,338466.0,1575.892283251257,2.374042532946382,97.86412786412274,Florida,1
13315,465,0.0,57021.0,562.3709427181686,3.492301915133308,125.40707853497032,Georgia,1
103,0,103.0,0.0,0.0,0.0,0.0,Grand Princess,1
133,5,70.0,905.0,551.0598006442224,3.7593984962406015,80.9844789897034,Guam,1
504,9,185.0,18844.0,1330.9921132148502,1.7857142857142858,35.596438096099085,Hawaii,1
1426,27,0.0,14881.0,924.0004793551308,1.893408134642356,79.79564257595555,Idaho,1
22025,798,0.0,105768.0,901.2536413610728,3.623155505107832,173.81085165265517,Illinois,1
8359,483,0.0,44539.0,8.371236883410954e-08,5.778203134346214,124.16411290244716,Indiana,1
1710,41,928.0,18696.0,713.3936451645029,2.3976608187134505,54.19848054084378,Iowa,1
1390,61,0.0,13864.0,568.549035303844,4.388489208633094,47.71198710471992,Kansas,1
2018,113,1298.0,25866.0,755.5860524177965,5.599603567888999,45.168927985553104,Kentucky,1
21016,884,0.0,108091.0,2351.20177949242,4.206318995051389,452.0742368881048,Louisiana,1
698,19,406.0,12306.0,1048.2058865116533,2.722063037249284,51.92633304865601,Maine,1
8936,262,8071.0,51751.0,9.671037831972581e-08,2.9319606087735006,147.8080215955856,Maryland,1
26867,844,0.0,122049.0,2.138337843305981e-07,3.141400230766368,389.8003381355075,Massachusetts,1
